name,category,date,value
Thailand,THA,1962-01-01,0.03
Thailand,THA,1963-01-01,0.03
Thailand,THA,1964-01-01,0.04
Thailand,THA,1965-01-01,0.04
Thailand,THA,1966-01-01,0.09
Thailand,THA,1967-01-01,0.08
Thailand,THA,1968-01-01,0.09
Thailand,THA,1969-01-01,0.09
Thailand,THA,1970-01-01,0.08
Thailand,THA,1971-01-01,0.07
Thailand,THA,1972-01-01,0.07
Thailand,THA,1973-01-01,0.09
Thailand,THA,1974-01-01,0.09
Thailand,THA,1975-01-01,0.12
Thailand,THA,1976-01-01,0.14
Thailand,THA,1977-01-01,0.18
Thailand,THA,1978-01-01,0.19
Thailand,THA,1979-01-01,0.26
Thailand,THA,1980-01-01,0.2
Thailand,THA,1981-01-01,0.16
Thailand,THA,1982-01-01,0.18
Thailand,THA,1983-01-01,0.21
Thailand,THA,1984-01-01,0.23
Thailand,THA,1985-01-01,0.14
Thailand,THA,1986-01-01,0.12
Thailand,THA,1987-01-01,0.13
Thailand,THA,1988-01-01,0.17
Thailand,THA,1989-01-01,0.21
Thailand,THA,1990-01-01,0.33
Thailand,THA,1991-01-01,0.35
Thailand,THA,1992-01-01,0.39
Thailand,THA,1993-01-01,0.5
Thailand,THA,1994-01-01,0.59
Thailand,THA,1995-01-01,0.71
Thailand,THA,1996-01-01,0.81
Thailand,THA,1997-01-01,0.96
Thailand,THA,1998-01-01,1.04
Thailand,THA,1999-01-01,1.03
Thailand,THA,2000-01-01,111.413
Thailand,THA,2001-01-01,120.367
Thailand,THA,2002-01-01,128.234
Thailand,THA,2003-01-01,157.377
Thailand,THA,2004-01-01,159.242
Thailand,THA,2005-01-01,167.843
Thailand,THA,2006-01-01,194.551
Thailand,THA,2007-01-01,197.286
Thailand,THA,2008-01-01,224.392
Thailand,THA,2009-01-01,200.584
Thailand,THA,2010-01-01,1.89
Thailand,THA,2011-01-01,1.96
Thailand,THA,2012-01-01,2.11
Thailand,THA,2013-01-01,2.22
